Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Fair,,Outgroup,Ingroup,40,3,120,NA,NA,0.13,0.19,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Selfish,,Ingroup,Ingroup,40,3,120,NA,NA,0.14,0.25,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Selfish,,Outgroup,Ingroup,40,3,120,NA,NA,0.42,0.33,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Fair,,Ingroup,Ingroup,36,3,108,NA,NA,0.02,0.06,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Fair,,Outgroup,Ingroup,36,3,108,NA,NA,0.16,0.21,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Selfish,,Ingroup,Ingroup,36,3,108,NA,NA,0.11,0.27,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Selfish,,Outgroup,Ingroup,36,3,108,NA,NA,0.58,0.34,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Fair,,Ingroup,Ingroup,39,3,117,NA,NA,0,0,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Fair,,Outgroup,Ingroup,39,3,117,NA,NA,0.17,0.27,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Selfish,,Ingroup,Ingroup,39,3,117,NA,NA,0.1,0.17,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Selfish,,Outgroup,Ingroup,39,3,117,NA,NA,0.45,0.35,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Fair,,Ingroup,Ingroup,42,3,126,NA,NA,0.01,0.06,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Fair,,Outgroup,Ingroup,42,3,126,NA,NA,0.22,0.29,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Selfish,,Ingroup,Ingroup,42,3,126,NA,NA,0.07,0.14,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,2,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",81,University students ,44,37,19.32,1.39,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception,Not reported,No,Yes,1,3,0,Punish Only,1.5,0,1,1,NA,NA,NA,Currency,NA,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Competitive,Selfish,,Outgroup,Ingroup,42,3,126,NA,NA,0.4,0.33,,,,,,,,
19,The development of cooperation and cooperative norm enforcement in children and adolescents: The role of in-group favoritism.,2,Lab,Natural,School Affiliation,School affiliation was conducted using colored wristbands (red/green) and pictures of either the participant’s own school or an unfamiliar school; cartoon portraits in the matching color represented partners and participants were asked to imagine those portraits as other students (age/gender matched). Positions and wristband colours were counterbalanced. ,317,Primary and middle school children,158,159,11.38,0.5,China,China,Public Goods Game,Each (imagined) group had four players. Each player was endowed with tokens and decided how many tokens to put into a public pool; the total in the public pool was doubled and then split evenly among the four players (marginal per-capita return = 0.5). In Experiment 2 participants acted as third-party executors: they were told one player kept all their endowment (a free-rider) and were asked how many tokens they wanted to deduct from that free-rider’s payoff (at personal cost).,Deception,Yes,Yes,No,2,40,40,Punish Only,40,0,20,5,NA,NA,NA,Toekns (to be exchanged for prizes),NA,NA,Yes,,Yes,,No,NA,NA,No,NA,,,,,,Ingroup,Ingroup,317,1,317,,,5.27,5.84,,,,,,,,
19,The development of cooperation and cooperative norm enforcement in children and adolescents: The role of in-group favoritism.,2,Lab,Natural,School Affiliation,School affiliation was conducted using colored wristbands (red/green) and pictures of either the participant’s own school or an unfamiliar school; cartoon portraits in the matching color represented partners and participants were asked to imagine those portraits as other students (age/gender matched). Positions and wristband colours were counterbalanced. ,317,Primary and middle school children,158,159,11.38,0.5,China,China,Public Goods Game,Each (imagined) group had four players. Each player was endowed with tokens and decided how many tokens to put into a public pool; the total in the public pool was doubled and then split evenly among the four players (marginal per-capita return = 0.5). In Experiment 2 participants acted as third-party executors: they were told one player kept all their endowment (a free-rider) and were asked how many tokens they wanted to deduct from that free-rider’s payoff (at personal cost).,Deception,Yes,Yes,No,2,40,40,Punish Only,40,0,20,5,NA,NA,NA,Toekns (to be exchanged for prizes),NA,NA,Yes,,Yes,,No,NA,NA,No,NA,,,,,,Outgroup,Outgroup,317,1,317,,,7.25,6.59,,,,,,,,
20,False friends are worse than bitter enemies: "Altruistic" punishment of in-group members,1,Lab,Nautral ,School Affiliation,"Participants were told that one group consisted of students from their own academic unit (gakubu), and the other from a different gakubu.",90,Undergraduates,38,52,Not reported,Not reported,Japanese,Japan,Gift Giving Game ,"Eight players divided into two groups of four. In each group, three traders were each endowed with 200 yen and gave some amount to another trader in a triangle (A→B→C→A). The given amount was doubled before reaching the recipient. One member of each group was the observer, who could punish any of the six traders (both in-group and out-group) by spending part of their own endowment. Punishment cost 1 yen to the punisher and reduced the target’s payoff by 3 yen.",Deception,One shot,Yes,No,2,200,200,,200,0,200,3,NA,NA,NA,Currency,NA,Yen,Yes,,Yes,,Yes,,,,,,,,Cheat,,Outgroup ,Outgroup ,,,Earnings at the end,61%,,64.91,80.81,,,,,,,,"We should note here that when they were given a choice to punish, they were told it was the last round"
20,False friends are worse than bitter enemies: "Altruistic" punishment of in-group members,1,Lab,Nautral ,School Affiliation,"Participants were told that one group consisted of students from their own academic unit (gakubu), and the other from a different gakubu.",90,Undergraduates,38,52,Not reported,Not reported,Japanese,Japan,Gift Giving Game ,"Eight players divided into two groups of four. In each group, three traders were each endowed with 200 yen and gave some amount to another trader in a triangle (A→B→C→A). The given amount was doubled before reaching the recipient. One member of each group was the observer, who could punish any of the six traders (both in-group and out-group) by spending part of their own endowment. Punishment cost 1 yen to the punisher and reduced the target’s payoff by 3 yen.",Deception,One shot,Yes,No,2,200,200,,200,0,200,3,NA,NA,NA,Currency,NA,Yen,Yes,,Yes,,Yes,,,,,,,,Cheat,,Ingroup,Ingroup,,,,,,,,,,,,,,,
20,False friends are worse than bitter enemies: "Altruistic" punishment of in-group members,1,Lab,Nautral ,School Affiliation,"Participants were told that one group consisted of students from their own academic unit (gakubu), and the other from a different gakubu.",91,Undergraduates,39,53,Not reported,Not reported,Japanese,Japan,Gift Giving Game ,"Eight players divided into two groups of four. In each group, three traders were each endowed with 200 yen and gave some amount to another trader in a triangle (A→B→C→A). The given amount was doubled before reaching the recipient. One member of each group was the observer, who could punish any of the six traders (both in-group and out-group) by spending part of their own endowment. Punishment cost 1 yen to the punisher and reduced the target’s payoff by 4 yen.",Deception,One shot,Yes,No,3,201,201,,201,1,201,4,NA,NA,NA,Currency,NA,Yen,Yes,,Yes,,Yes,,,,,,,,Cooperate,,Outgroup ,Outgroup ,,,,,,,,,,,,,,,
20,False friends are worse than bitter enemies: "Altruistic" punishment of in-group members,1,Lab,Nautral ,School Affiliation,"Participants were told that one group consisted of students from their own academic unit (gakubu), and the other from a different gakubu.",92,Undergraduates,40,54,Not reported,Not reported,Japanese,Japan,Gift Giving Game ,"Eight players divided into two groups of four. In each group, three traders were each endowed with 200 yen and gave some amount to another trader in a triangle (A→B→C→A). The given amount was doubled before reaching the recipient. One member of each group was the observer, who could punish any of the six traders (both in-group and out-group) by spending part of their own endowment. Punishment cost 1 yen to the punisher and reduced the target’s payoff by 5 yen.",Deception,One shot,Yes,No,4,202,202,,202,2,202,5,NA,NA,NA,Currency,NA,Yen,Yes,,Yes,,Yes,,,,,,,,Cooperate,,Ingroup,Ingroup,,,,,,,,,,,,,,,
22,Third-party fairness maintenance in five types of group relationships,1,Lab,Experimental,Colour preference,"The 85 University Students were given post-it notes in three colors. They chose one of the colors according to
their preference, so that they were divided into Groups A, B, and C according to the color chosen. The
researcher asked the members of each group to get to know one another",56,University Students,29,32,19.13,0.79,Chinese,China,Dictotar Game,"Two players: a dictator (Person A) and a recipient (Person B). The dictator is given RMB 10 and decides how to split it with the recipient. Possible splits ranged from 9–1 to 1–9, including a fair 5–5. The recipient must accept the allocation. A third-party participant (Person C) observes the allocation and can (1) keep their own endowment, (2) punish the dictator, or (3) compensate the recipient.",Real,Not reported,No,No,1,10,0,Punish or Compensate,5,0.5,2,3,0.5,2,3,Currency,NA,CNY,Yes,,Yes,,Yes,Within,"Fair: half
Unfair: keep 6-9",No,NA,,,,,,Ingroup,Ingroup,,,,0.19,,1.03,0.24,0.3,,2.88,0.56,0.51,,0.06,"The demographics here are for the 61 third parties, but 5 of them were exclded later, leaving 56 valid. However, they didn't report demographics of thses 56 ppts"
22,Third-party fairness maintenance in five types of group relationships,1,Lab,Experimental,Colour preference,"The 85 University Students were given post-it notes in three colors. They chose one of the colors according to
their preference, so that they were divided into Groups A, B, and C according to the color chosen. The
researcher asked the members of each group to get to know one another",56,University Students,29,32,19.13,0.79,Chinese,China,Dictotar Game,"Two players: a dictator (Person A) and a recipient (Person B). The dictator is given RMB 10 and decides how to split it with the recipient. Possible splits ranged from 9–1 to 1–9, including a fair 5–5. The recipient must accept the allocation. A third-party participant (Person C) observes the allocation and can (1) keep their own endowment, (2) punish the dictator, or (3) compensate the recipient.",Real,Not reported,No,No,1,10,0,Punish or Compensate,5,0.5,2,3,0.5,2,3,Currency,NA,CNY,Yes,,Yes,,Yes,Within,"Fair: half
Unfair: keep 6-9",No,NA,,,,,,Ingroup,Outgroup ,,,,0.1,,0.46,0.16,0.27,,1.95,0.44,0.63,,0.05,
22,Third-party fairness maintenance in five types of group relationships,1,Lab,Experimental,Colour preference,"The 85 University Students were given post-it notes in three colors. They chose one of the colors according to
their preference, so that they were divided into Groups A, B, and C according to the color chosen. The
researcher asked the members of each group to get to know one another",56,University Students,29,32,19.13,0.79,Chinese,China,Dictotar Game,"Two players: a dictator (Person A) and a recipient (Person B). The dictator is given RMB 10 and decides how to split it with the recipient. Possible splits ranged from 9–1 to 1–9, including a fair 5–5. The recipient must accept the allocation. A third-party participant (Person C) observes the allocation and can (1) keep their own endowment, (2) punish the dictator, or (3) compensate the recipient.",Real,Not reported,No,No,1,10,0,Punish or Compensate,5,0.5,2,3,0.5,2,3,Currency,NA,CNY,Yes,,Yes,,Yes,Within,"Fair: half
Unfair: keep 6-9",No,NA,,,,,,Outgroup ,Ingroup,,,,0.46,,3.88,0.67,0.32,,2.31,0.38,0.23,,0.05,
22,Third-party fairness maintenance in five types of group relationships,1,Lab,Experimental,Colour preference,"The 85 University Students were given post-it notes in three colors. They chose one of the colors according to
their preference, so that they were divided into Groups A, B, and C according to the color chosen. The
researcher asked the members of each group to get to know one another",56,University Students,29,32,19.13,0.79,Chinese,China,Dictotar Game,"Two players: a dictator (Person A) and a recipient (Person B). The dictator is given RMB 10 and decides how to split it with the recipient. Possible splits ranged from 9–1 to 1–9, including a fair 5–5. The recipient must accept the allocation. A third-party participant (Person C) observes the allocation and can (1) keep their own endowment, (2) punish the dictator, or (3) compensate the recipient.",Real,Not reported,No,No,1,10,0,Punish or Compensate,5,0.5,2,3,0.5,2,3,Currency,NA,CNY,Yes,,Yes,,Yes,Within,"Fair: half
Unfair: keep 6-9",No,NA,,,,,,Outgroup-same,Outgroup-same,,,,0.3,,1.74,0.27,0.11,,0.6,0.17,0.61,,0.06,
22,Third-party fairness maintenance in five types of group relationships,1,Lab,Experimental,Colour preference,"The 85 University Students were given post-it notes in three colors. They chose one of the colors according to
their preference, so that they were divided into Groups A, B, and C according to the color chosen. The
researcher asked the members of each group to get to know one another",56,University Students,29,32,19.13,0.79,Chinese,China,Dictotar Game,"Two players: a dictator (Person A) and a recipient (Person B). The dictator is given RMB 10 and decides how to split it with the recipient. Possible splits ranged from 9–1 to 1–9, including a fair 5–5. The recipient must accept the allocation. A third-party participant (Person C) observes the allocation and can (1) keep their own endowment, (2) punish the dictator, or (3) compensate the recipient.",Real,Not reported,No,No,1,10,0,Punish or Compensate,5,0.5,2,3,0.5,2,3,Currency,NA,CNY,Yes,,Yes,,Yes,Within,"Fair: half
Unfair: keep 6-9",No,NA,,,,,,Outgroup-diff,Outgroup-diff,,,,0.2,,1.12,0.21,0.06,,0.3,0.11,0.74,,0.04,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Fair,,Ingroup ,Ingroup ,21,12,252,,,,,,,,,,,,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Fair,,Outgroup ,Ingroup ,21,12,252,,,,,,,,,,,,
24,Group Membership Modulates the Neural Circuitry Underlying Third Party Punishment,1,Lab,Natural,Nationality,"players, two Italian and two Chinese (confederates of the experimenters) on how to play the game. We controlled that the experimental subjects were not aware that the other participants were confederates of the experimenters. We tested this aspect with post-experiment open questions in which we asked the experimental subjects to give their opinions about the other players (for example “What do you think about the other players?” “Do you think the other players know each other?”). None of the experimental subjects mentioned the possibility of the Chinese participants being confederates of the experimenter.",21,Undergraduates,0,21,24.56,1.87,Italian,Italy,Dictator Game,,Deception,Not reported,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,0.2,Euro,Yes,Within,Yes,Within,Yes,Within,"Unfair: ≤ 7
Fair: 8",No,NA,,,,Fair,,Ingroup ,Ingroup ,21,12,252,,,,,,,,,,,,
